position,billboard_name
1,resources/billboards/furniture_neu.bmp
2,resources/billboards/salad_emo.bmp
3,resources/billboards/burger_neu.bmp
4,resources/billboards/vaccination_emo.bmp
5,resources/billboards/binge_drinking_neu.bmp
6,resources/billboards/smoking_neu.bmp
7,resources/billboards/distracted_driving_emo.bmp
8,resources/billboards/education_donation_emo.bmp
9,resources/billboards/smartphone_emo.bmp
10,resources/billboards/diabetes_neu.bmp
11,resources/billboards/pizza_emo.bmp
12,resources/billboards/buckle_up_neu.bmp
13,resources/billboards/underage_drinking_neu.bmp
14,resources/billboards/drugged_driving_emo.bmp
15,resources/billboards/lawyer_neu.bmp
16,resources/billboards/hotel_emo.bmp
17,resources/billboards/sunscreen_emo.bmp
18,resources/billboards/coffee_neu.bmp
19,resources/billboards/brunch_neu.bmp
20,resources/billboards/hiv_emo.bmp
