position,billboard_name
1,resources/billboards/smoking_emo.bmp
2,resources/billboards/pizza_neu.bmp
3,resources/billboards/salad_emo.bmp
4,resources/billboards/distracted_driving_neu.bmp
5,resources/billboards/vaccination_neu.bmp
6,resources/billboards/smartphone_neu.bmp
7,resources/billboards/brunch_emo.bmp
8,resources/billboards/hiv_neu.bmp
9,resources/billboards/education_donation_emo.bmp
10,resources/billboards/drugged_driving_neu.bmp
11,resources/billboards/hotel_neu.bmp
12,resources/billboards/underage_drinking_emo.bmp
13,resources/billboards/coffee_neu.bmp
14,resources/billboards/burger_emo.bmp
15,resources/billboards/buckle_up_neu.bmp
16,resources/billboards/diabetes_emo.bmp
17,resources/billboards/binge_drinking_emo.bmp
18,resources/billboards/furniture_emo.bmp
19,resources/billboards/sunscreen_emo.bmp
20,resources/billboards/lawyer_neu.bmp
